"","clone","replicate","lineage.id","tracking.id","n_frames","start_frame","total_path_length","final_displacement","volume","radius","sphericity","length.to.width.ratio","dry.mass","mean.speed"
"22","cloneA","1","37","37",2,2,14.2738933563232,14.2738933563232,2708.73120117188,27.8019285202027,0.188352078199387,2.78674854391104,677.182220458984,0.00147762871347368
"23","cloneA","1","38","38",3,3,8.79075241088867,4.3865065574646,2092.96561686198,21.4283383687337,0.261795868476232,1.31929544108402,523.240905761719,0.00318505539325997
"24","cloneA","1","42","42",39,3,359.8017578125,195.168273925781,1622.54250550882,19.4942946800819,0.278349553927397,2.78455543691653,405.635253123748,0.0053368731490704
"25","cloneA","1","43","43",58,3,371.234375,150.79557800293,1765.79156388908,20.6466244006979,0.257058092232408,2.74297173904167,441.447483983533,0.0045920323004554
"26","cloneA","1","44","44",34,3,342.757385253906,19.8497333526611,1870.29257740694,20.97678863301,0.262315872399246,2.61158681008792,467.572708129883,0.0054625589224143
"27","cloneA","1","45","45",3,3,9.18954563140869,9.02704620361328,3722.56103515625,30.7109330495199,0.191349928577741,4.06214578454952,930.63944498698,0.0024898648262024
"28","cloneA","1","46","46",2,3,5.21053838729858,5.21053838729858,1006.58535766602,16.8470306396485,0.266013085842132,1.9656600883446,251.646118164062,0.00188787619117647
"29","cloneA","1","47","47",18,3,194.499725341797,75.4273223876953,1330.3675910102,18.6648780504863,0.262933010856311,1.62801830277745,332.591587490506,0.00516809827839846
"30","cloneA","1","48","48",2,3,18.616641998291,18.616641998291,1724.52709960938,20.417290687561,0.253963895142079,2.51719231446403,431.13134765625,0.0134903211146593
"31","cloneA","1","49","49",12,3,147.271759033203,132.340133666992,936.368799845378,16.3958691755931,0.270231194794178,1.89107113874874,234.091985066732,0.00865001802925359
"32","cloneA","1","50","50",44,3,294.905944824219,24.2745685577393,1394.97982510653,19.0799369595268,0.257392321120609,2.61714674145461,348.744642431086,0.00449269058773034
"33","cloneA","1","51","51",7,3,47.5564994812012,13.4432935714722,1630.90602329799,20.8557807377407,0.192456641367504,1.27758616596202,407.726135253906,0.00228162407681035
"34","cloneA","1","56","56",8,4,107.500518798828,87.1076126098633,1002.83406066895,16.509578704834,0.275535590946674,1.85365408858129,250.708290100098,0.0095462841647012
"35","cloneA","1","58","58",24,5,244.985610961914,130.278991699219,1158.99202982585,16.6648548444112,0.300014161815246,1.65292098948545,289.74773534139,0.00745319950637286
"36","cloneA","1","59","59",66,5,471.847961425781,52.8192901611328,1141.71986527877,16.5746378754125,0.297963598912413,2.01952491590117,285.429703914758,0.00510620396584832
"37","cloneA","1","63","63",84,5,597.233642578125,128.787963867188,2086.67052496047,23.0495815050034,0.232402892162403,1.68337568856439,521.667147681827,0.00420548599066089
"38","cloneA","1","65","65",27,5,229.500106811523,185.858489990234,1694.50142415365,19.928154486197,0.268402901512605,2.42947667358004,423.624961570457,0.00505784914219895
"39","cloneA","1","66","66",2,5,20.1911220550537,20.1911220550537,2928.37963867188,27.9468946456909,0.19682677835226,2.032114440339,732.094207763672,0.0146312480792403
"40","cloneA","1","69","69",9,5,38.4599876403809,9.1926908493042,780.333774142795,14.4745751486884,0.221210483047697,1.6829754894316,195.083267211914,0.00166470131807728
"41","cloneA","1","70","70",7,6,78.8811721801758,52.9855842590332,2047.20790318081,21.1631995609828,0.264118777854102,1.29248458017348,511.801500592913,0.00902157412686696
"42","cloneA","1","71","71",4,6,57.1474075317383,27.396656036377,805.535903930665,13.4942667484284,0.336761415004731,1.26299112304736,201.383785247803,0.00888635823503137
"43","cloneA","1","72","72",6,6,57.7642517089844,10.290225982666,1615.66027832031,24.1587088902792,0.175250604748726,1.38357098582944,403.914688110352,0.00199216027394868
"44","cloneA","1","75","75",2,6,12.4840822219849,12.4840822219849,2341.24047851563,25.9807739257812,0.194668591022492,3.10515139749734,585.3095703125,0.00904643628746271
"45","cloneA","1","81","81",3,7,16.4950160980225,15.6846265792847,1181.30183919271,19.3019014994303,0.225809956590335,1.92969405828093,295.3251953125,0.00443177507258951
"46","cloneA","1","82","82",2,7,1.69653284549713,1.69653284549713,471.428405761719,10.72292137146,0.308598786592484,1.93344112945751,117.856994628906,0.00122937164269388
"47","cloneA","1","83","83",8,7,5.69058561325073,2.65167665481567,423.345729827881,5.19590431451797,0.340826133266091,1.59482453245836,105.836337089539,0.000287961478794124
"48","cloneA","1","90","90",1,11,31.6790103912354,22.1885166168213,3526.04711914063,31.5885257720947,0.173462882637978,1.2004489321236,881.510925292969,0.0131284957751632
"49","cloneA","1","99","99",3,9,28.4760437011719,28.398042678833,1460.76794433594,20.505132039388,0.230218703548113,1.26979846200569,365.191640218099,0.0043498988961801
"50","cloneA","1","103","103",8,10,61.6209716796875,39.5567436218262,1683.85961914062,21.1454095840454,0.240827696397901,1.76852015232686,420.96452331543,0.00596749898977577
"51","cloneA","1","106","106",3,10,5.38342761993408,5.34897422790527,626.165445963542,12.4678554534912,0.342364857594172,1.71841874287664,156.541208902995,0.00195026089204475
"52","cloneA","1","108","108",13,10,91.3564071655273,21.3343162536621,3440.96767953726,26.815497471736,0.182265824996508,1.11333032205655,860.241126427284,0.00297542382516743
"53","cloneA","1","114","114",4,11,44.3567504882813,43.9860992431641,1264.70373535157,18.3965344429016,0.260467670857906,2.00605506572613,316.175651550293,0.00759805257742604
"54","cloneA","1","115","115",3,11,33.9383239746094,33.353343963623,984.140482584636,16.4202559789022,0.275908201932907,1.42862517871116,246.034881591797,0.0122921010479332
"55","cloneA","1","117","117",3,11,1.45612025260925,1.45557391643524,909.472391764325,14.7910718917847,0.250777259469032,1.44858947114465,227.367879231771,0.000334813463268798
"56","cloneA","1","122","122",56,12,459.187103271484,158.883239746094,1553.85913085938,20.2280025482178,0.248499960505537,2.56482702667826,388.464425768171,0.00511985067807307
"57","cloneA","1","123","123",11,12,76.8186111450195,42.9878196716309,1203.6474276456,18.3052623055198,0.256330872123892,2.03942127369423,300.911582253196,0.00556656601838767
"58","cloneA","1","130","130",2,13,10.1850728988647,10.1850728988647,2956.08288574219,29.5282716751098,0.177441120147705,1.72199603924253,739.020050048828,0.00369024369865656
"59","cloneA","1","133","133",4,13,31.8017635345459,31.0126762390137,862.202697753906,14.9109847545624,0.308005176484585,1.34548432945994,215.550468444824,0.00768158538267016
"60","cloneA","1","137","137",5,14,174.384414672852,173.272872924805,2568.92431640625,24.0879867553711,0.241456562280655,1.18465499608939,642.230493164063,0.0315913814119995
"61","cloneA","1","140","140",37,14,413.559936523438,282.938415527344,1838.35125567462,21.8687995704445,0.236084584851523,2.12584002346437,459.587387497361,0.00731858001543313
"62","cloneA","1","147","147",2,15,9.94386768341064,9.94386768341064,387.117645263672,10.3172655105591,0.350279301404953,1.53387778911522,96.7793159484864,0.00240190024487674
"63","cloneA","1","157","157",7,17,78.0545272827148,75.4208297729492,1979.31377301897,24.8763585771833,0.19313172357423,1.71983893495694,494.827976771764,0.00585338465558986
"64","cloneA","1","158","158",10,17,57.7467002868652,49.6712760925293,1186.97758789063,17.4289743423462,0.279643552005291,1.65882404031979,296.744125366211,0.00409552871456577
"65","cloneA","1","159","159",14,17,121.351921081543,71.6137390136719,1088.2236807687,16.3387975692749,0.297712372882026,2.86131441278426,272.055668422154,0.00676411963873901
"66","cloneA","1","160","160",12,17,120.404602050781,108.267112731934,1078.06023152669,17.1600654125214,0.27194099376599,2.40328508210543,269.514799753825,0.00793136059391228
"67","cloneA","1","163","163",36,18,293.19091796875,25.2362022399902,2052.23341539171,20.9102001455095,0.283384521802266,2.61587884770398,513.057872348362,0.00521806896597679
"68","cloneA","1","167","167",2,19,5.61864185333252,5.61864185333252,539.707214355469,12.4299159049988,0.304565325379372,2.69781463941246,134.92667388916,0.00407147966325283
"69","cloneA","1","168","168",2,19,11.5773553848267,11.5773553848267,1016.15182495117,15.1907658576965,0.323205336928368,3.18388079607126,254.037734985352,0.00838938821107149
"70","cloneA","1","169","169",5,28,76.2107620239258,49.8585433959961,1526.5244140625,20.9672267913819,0.227111175656319,2.31908068382745,381.630749511719,0.0037678238353692
