"clone","replicate","lineage.id","tracking.id","n_frames","start_frame","total_path_length","final_displacement","calculated_displacement","lineage_rootcell","left_censored","displacement_equal","lineage_equal"
"cloneA","3","967","967",6,202,23.7303409576416,4.19526243209839,4.19526230848214,FALSE,TRUE,FALSE,TRUE
"cloneA","3","970","970",1,203,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","971","971",2,203,32.337329864502,32.337329864502,32.3373286703378,FALSE,TRUE,FALSE,TRUE
"cloneA","3","972","972",1,203,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","973","973",62,203,405.585845947266,95.7556533813477,95.7556501735781,FALSE,TRUE,FALSE,TRUE
"cloneA","3","974","974",9,203,70.5710525512695,70.1825942993164,70.1825954379096,FALSE,TRUE,FALSE,TRUE
"cloneA","3","977","977",2,204,7.38293027877808,7.38293027877808,7.38293034092153,FALSE,TRUE,FALSE,TRUE
"cloneA","3","979","979",53,204,543.54248046875,16.7858810424805,16.7858809806687,FALSE,TRUE,FALSE,TRUE
"cloneA","3","980","980",47,204,454.428375244141,59.3108024597168,59.3108026105395,FALSE,TRUE,FALSE,TRUE
"cloneA","3","981","981",1,204,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","985","985",1,205,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","987","987",1,206,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","988","988",1,206,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","989","989",1,206,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","990","990",4,206,32.2034072875977,31.4660205841064,31.4660202661307,FALSE,TRUE,FALSE,TRUE
"cloneA","3","991","991",1,206,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","992","992",5,211,90.7433166503906,79.6939697265625,21.9411440463715,FALSE,TRUE,FALSE,TRUE
"cloneA","3","998","998",18,208,233.97297668457,134.468536376953,134.468539439253,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1000","1000",21,208,234.247924804688,221.377655029297,221.377656748124,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1002","1002",1,208,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1003","1003",1,208,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1005","1005",7,209,74.4546585083008,34.2633056640625,34.2633070722377,FALSE,TRUE,FALSE,TRUE
