clone	replicate	tracking.id	n_frames	start_frame	total_path_length	final_displacement	volume	radius	mean.thickness	sphericity	length.to.width.ratio	dry.mass	mean.speed
A	1	304	52	46	339.7819824	196.3011169	2003.4332510192307	21.726547094807692	1.3476276054615384	0.25178727788461536	3.23844849075	500.85784560384616	0.24564693529411766
A	1	306	3	46	45.88083267	45.87258148	1186.4056803333333	18.563825606666665	1.095823606	0.24198371166666668	3.732075602666667	296.60114543333333	0.9974093999999999
A	1	308	3	47	14.29845905	13.78737545	1257.9399413333333	19.443198523333333	1.0594880183333333	0.22800089433333334	2.124095974	314.48470050000003	0.3107853
A	1	309	4	47	20.73918152	15.74521065	906.557220475	14.487289905	1.38835045725	0.3346243425	3.13636690025	226.63908767499998	0.3005615
A	1	310	4	47	35.09284592	34.2359581	352.028556825	8.84535336475	1.4320120215	0.47142954175	1.0406727205	88.00705719	0.5084582000000001
A	1	311	9	47	88.5247879	4.81060648	2031.2561035555557	22.693172243333333	1.2571231920000001	0.23437757622222222	2.1495558293333334	507.8135613333333	0.3966255225
A	1	314	3	48	37.8209877	37.47435379	1118.7311196666667	17.132835386666667	1.2123797736666666	0.273940146	2.3354801363333335	279.6825358	0.50065422
A	1	315	8	48	56.63305283	48.76114655	970.16318515	16.43303752	1.1458551883750001	0.27169940262500003	1.679691883375	242.540575025	0.3516577285714286
A	1	316	4	48	27.17453766	27.0946579	1155.48962425	18.6704602225	1.0557946565	0.23546724775	1.6710730695	288.872138975	0.29121872
A	1	317	9	48	72.72235107	46.99850464	1711.1984186666666	18.55350557888889	1.639935136	0.320100049	2.6986055287777777	427.7992079	0.33301896750000004
A	1	319	4	49	50.74420929	19.43741417	1832.2309875	18.9731049525	1.65846937875	0.2998758965	1.49646630975	458.05732725	0.7354233600000001
A	1	320	5	49	29.80612946	27.55950165	1108.7160156	17.179412843999998	1.1970471144	0.270210743	4.813267186	277.17874146	0.323979675
A	1	323	12	50	117.2842636	97.81845856	1140.098236	16.883822203333334	1.2789959111666667	0.28958276033333336	1.6682408240833333	285.0242920083333	0.41636647090909096
A	1	324	4	50	47.09248352	45.61669159	1259.7341615	19.233181	1.086588502	0.23497317725	3.0587007867500002	314.933242775	0.68249974
A	1	325	2	50	2.845484734	2.845484734	1309.6744385000002	14.5985550905	2.663293302	0.5025922435	1.4591894425	327.41830445	0.02472
A	1	327	3	50	27.58000755	27.43449593	1040.7184039666668	14.917070073333333	1.4920677343333333	0.3421021006666667	2.3196188073333333	260.17937213333335	0.59956536
A	1	328	45	50	584.5267944	12.76665688	1545.1823526666667	18.91278614511111	1.3833320034666667	0.2828287694666667	3.463132489222222	386.29522569777777	0.45948040363636367
A	1	329	2	61	53.79875183	28.70024872	3608.4505615	26.82246113	1.615023136	0.2456695285	1.7957469315	902.1118164	0.24698901
A	1	331	5	51	69.53574371	68.46863556	799.12647704	13.19814396	1.4919145822	0.375855446	1.8728472558	199.78143312	0.7558232699999999
A	1	340	4	52	2.873963833	2.054092884	541.26519775	11.4292595375	1.3096349835	0.35843785125	2.17823494875	135.31617165	0.0239
A	1	341	5	52	6.248364925	1.775469184	1851.1331788	19.046285626	1.621440363	0.3092042684	1.1787250652	462.78286132	0.057396585
A	1	343	1	55	23.71736526	7.195617199	2415.580811	20.97670937	1.747410417	0.306218594	1.629515896	603.8946533	0.30238986
A	1	348	12	53	164.3664856	158.4641876	2377.80031325	24.036582786666667	1.3205902873333333	0.23302377883333333	3.1137129655	594.4495340916667	0.5287140818181818
A	1	349	30	53	124.3782425	67.68642426	1898.2024332333333	21.019957860666665	1.3778701464333334	0.2612755511666667	4.4077657552666665	474.55016682999997	0.17968955793103447
A	1	352	3	53	13.19784069	13.17949295	1160.4518229999999	15.298628806666667	1.6213720643333334	0.35447675966666664	1.6946404893333333	290.1126811	0.28690959
A	1	353	3	53	11.29557323	9.301157951	968.7493896666667	12.694270136666667	1.975893577	0.453841418	1.3984283926666665	242.18712363333333	0.24555591
A	1	355	14	53	158.5029602	24.25940704	1304.410688107143	17.713853223571427	1.3379326037142858	0.28403752092857143	2.2619528646428573	326.1023646714286	0.4797679753846154
A	1	357	2	54	5.072553158	5.072553158	1368.980286	15.651788235000001	1.7865846155	0.34645579800000004	1.7872816615	342.244751	0.22054578
A	1	359	2	54	4.145060539	4.145060539	525.2324829	12.999889849999999	0.9552497865	0.2575957255	1.317142906	131.3080025	0.09011004
A	1	360	3	54	36.22390366	36.05258179	1515.8602703333333	18.021839143333334	1.4943898916666667	0.30333023266666664	2.505577492	378.96471153333334	0.78747612
A	1	361	4	54	29.6165638	29.1476593	1214.117279	17.321352005	1.32360255725	0.292153485	1.32597148625	303.52902985000003	0.42922556
A	1	362	2	55	12.22576332	12.22576332	1398.6552735	18.278783795000002	1.3315226435	0.278932348	1.7388285849999998	349.66348265	0.5315549399999999
A	1	363	2	55	21.78707695	21.78707695	932.38739015	15.674375535	1.212049425	0.2924361675	1.9953753779999999	233.0966263	0.94726422
A	1	364	2	55	7.803321362	7.803321362	1004.3762207499999	15.66848993	1.32330364	0.23059947050000001	1.6506957325	251.09378815	0.1696374
A	1	365	2	55	3.651769638	3.651769638	2290.1091305	18.018547055	2.2225803135	0.2326474785	1.3437688685	572.5267334	0.15877259999999999
A	1	370	2	56	27.09988594	27.09988594	812.50982665	14.562625404999999	1.220197916	0.306993529	3.9518558705	203.12726594999998	1.17825588
A	1	372	4	56	66.47885132	66.41558075	900.094940175	14.2736907025	1.4074790775000001	0.3356463835	3.5068166759999997	225.02352905	0.9634615799999999
A	1	373	3	56	25.09887123	24.8041687	1105.53479	16.626864116666667	1.2838915983333332	0.292232474	1.9343580136666667	276.383433	0.54562764
A	1	374	7	56	37.4082756	34.80439377	1866.417986	21.223056248571428	1.3306993075714286	0.2547819591428572	1.5173740944285714	466.6040475	0.27105897
A	1	375	8	56	84.77250671	79.64376068	890.2542419875	13.904032230625	1.61551341425	0.381808184125	2.814489702875	222.5633583	0.4836175028571429
A	1	377	9	57	90.7327652	41.99031067	2289.557657888889	24.527684317777776	1.2143382494444444	0.2167923301111111	2.9367331237777776	572.3888787222222	0.3993468825
A	1	380	19	57	158.0023041	81.49036407	1175.579779431579	16.970013215789475	1.3083032621052633	0.29084678621052634	3.3345640587894736	293.89467179473684	0.35312907
A	1	381	7	57	23.97631836	9.245961189	1150.7677261142858	17.425336292857143	1.2066340107142857	0.27001182085714287	1.8283927238571427	287.6916656428572	0.17373367
A	1	384	34	58	314.9540405	207.5753784	2165.263639617647	23.082950816764708	1.3225561941470587	0.23972605947058823	2.9137550905294116	541.3154018647059	0.38829187454545455
A	1	385	4	58	42.14466095	42.12032318	874.870193475	14.856081007499998	1.294589281	0.31946103275000004	2.2373995875	218.71734237500002	0.61079218
A	1	386	10	58	118.1144638	83.47023773	1068.43472892	16.005162622	1.3370878339	0.305632934	3.9114857561	267.10843506	0.4721893533333333
A	1	393	5	59	64.15258789	61.8535881	873.45120848	14.205882072	1.4007293224	0.34342092879999997	3.250882562	218.36260072	0.55845528
A	1	401	3	60	41.87026978	41.80595398	2220.8179523333333	23.718215943333334	1.2566975353333332	0.22699480733333333	3.755570579	555.2039998333333	0.55667289
A	1	402	3	60	29.45626068	29.44661331	1127.1039226666667	16.729152043333333	1.2817022003333334	0.288610031	2.3498666543333333	281.775706	0.47463968999999995
