LID,TID,tracking.id,track.length,total_path_length,euclidean.distance,final_displacement,mean.speed_manual,mean.speed_livecyte,cell.line,clone,replicate
6,1,36,318.356,304.2819824,96.20473096,98.93615723,0.395473292,0.00907986,A1,cloneA,1
6,2,1230,1020.787,699.3121948,401.1258162,428.8816528,0.314766266,0.006151805,A1,cloneA,1
6,3,1392,773.692,686.3935547,318.1336103,326.684967,0.382258893,0.008773003,A1,cloneA,1
6,4,1144,529.212,493.4305115,347.6258557,374.3514709,0.264473763,0.003118044,A1,cloneA,1
6,5,1590,522.176,545.9285278,404.8228541,420.9108887,0.263991911,0.005597434,A1,cloneA,1
6,6,895,998.128,668.2682495,301.2801035,300.6270142,0.314470069,0.003427919,A1,cloneA,1
6,7,1271,1057.96,608.9274292,266.6250105,266.0681152,0.333320731,0.005086045,A1,cloneA,1
7,1,42,364.176,359.8017578,201.8913621,195.1682739,0.386188759,0.005336873,A1,cloneA,1
7,2,63,662.202,597.2336426,129.5628014,128.7879639,0.378834096,0.004205486,A1,cloneA,1
7,3,63,1255.817,597.2336426,138.9054787,128.7879639,0.392811073,0.004205486,A1,cloneA,1
7,4,560,865.998,563.1832886,223.9935358,215.2829742,0.261472826,0.004246189,A1,cloneA,1
7,5,1392,991.377,686.3935547,312.0803256,326.684967,0.299328804,0.008773003,A1,cloneA,1
7,6,1230,840.677,699.3121948,593.1998651,428.8816528,0.451249061,0.006151805,A1,cloneA,1
7,7,63,793.849,597.2336426,113.2953953,128.7879639,0.420916755,0.004205486,A1,cloneA,1
8,1,1073,621.935,599.088623,176.7128057,186.2175446,0.436139551,0.003817043,A1,cloneA,1
8,2,915,858.824,563.8022461,61.17216727,62.67755127,0.460989801,0.004130649,A1,cloneA,1
8,3,915,573.444,563.8022461,72.53968431,62.67755127,0.307806763,0.004130649,A1,cloneA,1
8,4,24,504.663,571.6314697,175.550054,179.2698669,0.292558261,0.006697005,A1,cloneA,1
8,5,63,1009.013,597.2336426,139.9273909,128.7879639,0.368656558,0.004205486,A1,cloneA,1
8,6,525,822.914,680.6998901,357.2502929,365.577301,0.303210759,0.005979293,A1,cloneA,1
8,7,1445,904.38,573.78479,237.1107542,237.7076721,0.354242068,0.005003589,A1,cloneA,1
8,8,2038,25.373,24.34270859,18.87605004,19.08456421,0.157596273,0.004409911,A1,cloneA,1
8,9,1113,20.658,19.52625847,8.211685454,7.665716171,0.149695652,0.004716488,A1,cloneA,1
9,1,843,527.543,446.1505127,320.3242156,320.3253479,0.432767022,0.007656209,A1,cloneA,1
9,2,1230,1114.189,699.3121948,498.9860573,428.8816528,0.550488636,0.006151805,A1,cloneA,1
9,3,1230,838.307,699.3121948,439.1358077,428.8816528,0.628416042,0.006151805,A1,cloneA,1
9,4,525,829.826,680.6998901,383.971875,365.577301,0.538498378,0.005979293,A1,cloneA,1
9,5,1230,1456.22,699.3121948,413.6456503,428.8816528,0.419297437,0.006151805,A1,cloneA,1
9,6,560,964.192,563.1832886,218.2340285,215.2829742,0.511236479,0.004246189,A1,cloneA,1
9,7,1144,493.424,493.4305115,368.4470053,374.3514709,0.258472499,0.003118044,A1,cloneA,1
10,1,500,477.113,493.6966553,131.5124418,119.9095001,0.351593957,0.005468544,A1,cloneA,1
10,2,854,333.869,337.3942871,226.5215511,208.3703766,0.558309365,0.005728992,A1,cloneA,1
10,3,63,708.876,597.2336426,124.4731258,128.7879639,0.375862142,0.004205486,A1,cloneA,1
10,4,501,351.872,342.1271057,124.2596085,127.1202316,0.332582231,0.004358756,A1,cloneA,1
10,5,1230,1128.75,699.3121948,456.8495251,428.8816528,0.415899042,0.006151805,A1,cloneA,1
10,6,1212,15.923,15.80419254,15.73480403,15.71758747,0.346152174,0.006037037,A1,cloneA,1
10,7,710,37.654,37.61256027,37.59742409,37.61256027,0.818565217,0.005451096,A1,cloneA,1
1,1,2720,236.924,234.443573,73.83995802,72.25875854,0.234114625,0.003663401,B2,cloneB,2
1,2,2540,882.721,821.5093994,111.7334087,108.1273804,0.314583393,0.004710821,B2,cloneB,2
1,3,2784,533.167,479.4869995,18.36195984,15.76085091,0.254738175,0.004247214,B2,cloneB,2
1,4,3209,573.452,615.9634399,252.8093875,243.4496307,0.262449428,0.004211488,B2,cloneB,2
1,5,3960,620.73,486.0917664,146.0968674,153.1083527,0.284086957,0.004442038,B2,cloneB,2
1,6,3209,568.795,615.9634399,245.3003159,243.4496307,0.252349157,0.004211488,B2,cloneB,2
1,7,4537,595.706,610.8850098,43.7463199,42.213871,0.205557626,0.008424334,B2,cloneB,2
1,8,5746,150.635,149.0729065,88.22910461,86.05194855,0.242568438,0.004161606,B2,cloneB,2
1,9,6337,129.251,132.4206696,58.17822617,58.16959763,0.216138796,0.008975533,B2,cloneB,2
