LID	TID	total_path_length	final_displacement	mean.speed	clone	replicate
6	3	773.692	318.1336103	0.382258893	cloneA	1
6	4	529.212	347.6258557	0.264473763	cloneA	1
6	5	522.176	404.8228541	0.263991911	cloneA	1
6	6	998.128	301.2801035	0.314470069	cloneA	1
6	7	1057.96	266.6250105	0.333320731	cloneA	1
7	1	364.176	201.8913621	0.386188759	cloneA	1
7	2	662.202	129.5628014	0.378834096	cloneA	1
7	3	1255.817	138.9054787	0.392811073	cloneA	1
7	4	865.998	223.9935358	0.261472826	cloneA	1
7	5	991.377	312.0803256	0.299328804	cloneA	1
7	6	840.677	593.1998651	0.451249061	cloneA	1
7	7	793.849	113.2953953	0.420916755	cloneA	1
8	1	621.935	176.7128057	0.436139551	cloneA	1
8	2	858.824	61.17216727	0.460989801	cloneA	1
8	3	573.444	72.53968431	0.307806763	cloneA	1
8	4	504.663	175.550054	0.292558261	cloneA	1
8	5	1009.013	139.9273909	0.368656558	cloneA	1
8	6	822.914	357.2502929	0.303210759	cloneA	1
8	7	904.38	237.1107542	0.354242068	cloneA	1
8	8	25.373	18.87605004	0.157596273	cloneA	1
8	9	20.658	8.211685454	0.149695652	cloneA	1
9	1	527.543	320.3242156	0.432767022	cloneA	1
9	2	1114.189	498.9860573	0.550488636	cloneA	1
9	3	838.307	439.1358077	0.628416042	cloneA	1
9	4	829.826	383.971875	0.538498378	cloneA	1
9	5	1456.22	413.6456503	0.419297437	cloneA	1
9	6	964.192	218.2340285	0.511236479	cloneA	1
9	7	493.424	368.4470053	0.258472499	cloneA	1
10	1	477.113	131.5124418	0.351593957	cloneA	1
10	2	333.869	226.5215511	0.558309365	cloneA	1
10	3	708.876	124.4731258	0.375862142	cloneA	1
10	4	351.872	124.2596085	0.332582231	cloneA	1
10	5	1128.75	456.8495251	0.415899042	cloneA	1
10	6	15.923	15.73480403	0.346152174	cloneA	1
10	7	37.654	37.59742409	0.818565217	cloneA	1
1	1	236.924	73.83995802	0.234114625	cloneB	2
1	2	882.721	111.7334087	0.314583393	cloneB	2
1	3	533.167	18.36195984	0.254738175	cloneB	2
1	4	573.452	252.8093875	0.262449428	cloneB	2
1	5	620.73	146.0968674	0.284086957	cloneB	2
1	6	568.795	245.3003159	0.252349157	cloneB	2
1	7	595.706	43.7463199	0.205557626	cloneB	2
1	8	150.635	88.22910461	0.242568438	cloneB	2
1	9	129.251	58.17822617	0.216138796	cloneB	2
2	1	237.236	33.66708333	0.163723948	cloneB	2
2	2	400.391	78.69577117	0.290138406	cloneB	2
2	3	669.681	49.77058266	0.30649016	cloneB	2
2	4	607.918	152.9910932	0.249351107	cloneB	2
2	5	638.444	69.69932638	0.205618035	cloneB	2
2	6	289.27	119.4090897	0.232906602	cloneB	2
2	7	315.438	205.2138835	0.291802035	cloneB	2
2	8	238.344	214.8365371	0.345426087	cloneB	2
2	9	184.837	73.50864932	0.259238429	cloneB	2
2	10	5.494	5.494408521	0.238869565	cloneB	2
2	11	13.554	13.55405198	0.589304348	cloneB	2
2	12	246.985	175.8915897	0.228478261	cloneB	2
2	13	303.637	226.6504912	0.280885291	cloneB	2
2	14	385.837	123.6454095	0.305009486	cloneB	2
2	15	448.364	27.05633798	0.354437945	cloneB	2
3	1	715.054	372.9896026	0.337927221	cloneB	2
3	2	310.422	127.205195	0.155133433	cloneB	2
3	3	534.598	206.3718665	0.232433913	cloneB	2
3	4	316.44	17.71546017	0.167783669	cloneB	2
3	5	148.675	7.580184694	0.202004076	cloneB	2
3	6	169.952	104.0818065	0.107090107	cloneB	2
3	7	292.777	53.06505835	0.184484562	cloneB	2
4	1	210.781	70.62447514	0.366575652	cloneB	2
4	2	393.661	132.7172963	0.276059607	cloneB	2
4	3	318.255	45.0688857	0.247092391	cloneB	2
4	4	627.598	125.1319675	0.20212496	cloneB	2
4	5	478.466	67.81308636	0.196253486	cloneB	2
4	6	486.147	32.67372244	0.203238712	cloneB	2
4	7	425.734	122.5451755	0.171390499	cloneB	2
4	8	162.645	54.43166935	0.186092677	cloneB	2
4	9	153.361	94.62885305	0.175470252	cloneB	2
4	10	384.749	38.69938792	0.253457839	cloneB	2
4	11	193.389	60.23496161	0.205078473	cloneB	2
4	12	295.647	119.5380205	0.262330967	cloneB	2
4	13	424.611	53.15954971	0.246151304	cloneB	2
4	14	451.702	131.7738134	0.280560248	cloneB	2
4	15	381.927	147.4998894	0.237221739	cloneB	2
4	16	131.393	30.97191064	0.219720736	cloneB	2
4	17	138.469	89.02593215	0.231553512	cloneB	2
4	18	77.391	47.25789595	0.140201087	cloneB	2
4	19	140.48	96.79417212	0.254492754	cloneB	2
5	1	527.904	14.38333126	0.175208762	cloneB	2
5	2	536.719	237.5057769	0.324105676	cloneB	2
5	3	877.302	282.9171244	0.312652174	cloneB	2
5	4	378.575	68.62186969	0.283789355	cloneB	2
5	5	349.457	141.0590488	0.261961769	cloneB	2
5	6	20.088	10.54178249	0.109173913	cloneB	2
5	7	50.382	46.53124236	0.273815217	cloneB	2
6	1	0	0	NA	cloneB	2
6	2	462.828	45.16607808	0.216375877	cloneB	2
6	3	400.609	90.57789559	0.215034353	cloneB	2
6	4	422.605	86.31913141	0.270207801	cloneB	2
