,clone,replicate,tracking.id,total_path_length,final_displacement,mean.speed,,,,,,,,
195,cloneA,1,451,44.611866,44.46374893,0.00808186,,,,,,,,
196,cloneA,1,457,402.7468872,28.55961418,0.004947281,,,,,,,,
197,cloneA,1,459,545.0439453,36.50152588,0.004419704,,,,,,,,
198,cloneA,1,460,649.0740967,20.72188568,0.00599745,,,,,,,,
199,cloneA,1,464,151.5997925,150.5181427,0.009986626,,,,,,,,
200,cloneA,1,465,8.783337593,8.740535736,0.002262765,,,,,,,,
201,cloneA,1,467,285.5237427,13.76990318,0.004930549,,,,,,,,
202,cloneA,1,470,75.74632263,68.78404999,0.009359708,,,,,,,,
203,cloneA,1,476,304.3053589,260.9250488,0.004280286,,,,,,,,
204,cloneA,1,477,112.1142807,21.13999367,0.003701632,,,,,,,,
205,cloneA,1,478,7.463597298,6.899281025,0.002704202,,,,,,,,
206,cloneA,1,481,22.70280266,22.70280266,0.016451307,,,,,,,,
207,cloneA,1,484,69.19563293,63.39458084,0.006123033,,,,,,,,
208,cloneA,1,486,44.06780624,15.684268,0.006385919,,,,,,,,
209,cloneA,1,492,78.35836029,40.96224594,0.004450946,,,,,,,,
210,cloneA,1,493,15.96062279,15.59726715,0.003000527,,,,,,,,
211,cloneA,1,495,13.66309547,13.66309547,0.009900794,,,,,,,,
212,cloneA,1,497,15.72943401,15.05844402,0.00569907,,,,,,,,
213,cloneA,1,500,493.6966553,119.9095001,0.005468544,,,,,,,,
214,cloneA,1,501,342.1271057,127.1202316,0.004358756,,,,,,,,
215,cloneA,1,504,148.3682556,118.2336426,0.00977295,,,,,,,,
216,cloneA,1,505,18.44814301,10.40913296,0.005641997,,,,,,,,
217,cloneA,1,506,31.52787018,22.0625267,0.003056906,,,,,,,,
218,cloneA,1,509,11.60081959,11.60081959,0.008406391,,,,,,,,
219,cloneA,1,513,114.8467331,54.20578384,0.016492956,,,,,,,,
220,cloneA,1,517,1.404191136,1.404191136,0.001016793,,,,,,,,
221,cloneA,1,518,27.13534164,3.835097551,0.006989721,,,,,,,,
222,cloneA,1,521,57.44307709,56.28345108,0.010403353,,,,,,,,
223,cloneA,1,523,22.72583771,22.32595634,0.008230671,,,,,,,,
224,cloneA,1,525,680.6998901,365.577301,0.005979293,,,,,,,,
225,cloneA,1,526,45.94690704,32.30948257,0.006285275,,,,,,,,
226,cloneA,1,528,89.11790466,77.05247498,0.006899921,,,,,,,,
227,cloneA,1,529,12.76668835,10.65860271,0.004625612,,,,,,,,
228,cloneA,1,530,18.95620346,18.42736244,0.004578793,,,,,,,,
