LID,TID,track.duration,track.length,meandering.index,euclidean.distance,mean.speed,track.present.at.start.or.end,track.never.divides,cell.line,clone,replicate,Unnamed: 0,lineage.id,tracking.id,n_frames,start_frame,total_path_length,final_displacement,volume,radius,sphericity,length.to.width.ratio,dry.mass,match_score
10,5,2714,1128.75,0.404739336,456.8495251,0.006151805,FALSE,FALSE,A1,cloneA,1,585,1230,1230,80,158,699.3121948,428.8816528,1683.287268,20.06491508,0.261802309,3.456091458,420.8214279,0.441673315
10,6,46,15.923,0.988180873,15.73480403,0.006037037,TRUE,FALSE,A1,cloneA,1,575,1212,1212,1,158,15.80419254,15.71758747,3838.50708,31.37594032,0.187683076,1.427719223,959.6259155,0.008555544
10,7,46,37.654,0.998497479,37.59742409,0.005451096,TRUE,FALSE,A1,cloneA,1,313,710,710,2,97,37.61256027,37.61256027,2855.766479,24.16325188,0.255336866,2.52565397,713.9409485,0.001502963
1,1,1012,236.924,0.311660946,73.83995802,0.003663401,TRUE,FALSE,B2,cloneB,2,4625,2720,2720,44,129,234.443573,72.25875854,1370.128404,26.09361549,0.138416544,1.576017821,342.5317799,0.031883167
1,2,2806,882.721,0.126578396,111.7334087,0.004710821,FALSE,FALSE,B2,cloneB,2,4555,2540,2540,105,121,821.5093994,108.1273804,2148.7041,31.24254274,0.130205258,2.080107789,537.1755237,0.101617723
1,3,2093,533.167,0.034439415,18.36195984,0.004247214,FALSE,FALSE,B2,cloneB,2,4838,2784,2784,64,131,479.4869995,15.76085091,1368.012978,23.98183376,0.16808283,1.945377057,342.0029259,0.242338879
1,4,2185,573.452,0.440855359,252.8093875,0.004211488,TRUE,FALSE,B2,cloneB,2,4911,3209,3209,88,153,615.9634399,243.4496307,1297.48195,24.21849988,0.155358255,2.054009316,324.3701874,0.106039153
1,5,2185,620.73,0.235362988,146.0968674,0.004442038,TRUE,FALSE,B2,cloneB,2,5278,3960,3960,76,183,486.0917664,153.1083527,1579.590046,26.27965812,0.151989002,2.454839856,394.8971497,0.262697326
1,6,2254,568.795,0.431263137,245.3003159,0.004211488,FALSE,FALSE,B2,cloneB,2,4911,3209,3209,88,153,615.9634399,243.4496307,1297.48195,24.21849988,0.155358255,2.054009316,324.3701874,0.084121257
1,7,2898,595.706,0.073436091,43.7463199,0.008424334,TRUE,FALSE,B2,cloneB,2,5574,4537,4537,22,199,610.8850098,42.213871,3050.749656,37.99698899,0.111178472,1.639976449,762.6867065,0.059877923
1,8,621,150.635,0.585714506,88.22910461,0.004161606,TRUE,FALSE,B2,cloneB,2,6147,5746,5746,27,235,149.0729065,86.05194855,1282.714794,24.60036306,0.148667703,1.552348836,320.6784012,0.035046223
1,9,598,129.251,0.45011819,58.17822617,0.008975533,FALSE,FALSE,B2,cloneB,2,6450,6337,6337,7,251,132.4206696,58.16959763,2970.497314,36.50859996,0.118100226,1.596440311,742.6236223,0.024084678
2,1,1449,237.236,0.141913889,33.66708333,0.004592174,TRUE,FALSE,B2,cloneB,2,5951,5326,5326,32,224,234.9574585,36.53736496,1715.905495,27.35823864,0.145193552,1.938884972,428.9759731,0.088161969
2,2,1380,400.391,0.196547303,78.69577117,0.004411485,FALSE,FALSE,B2,cloneB,2,5095,3602,3602,5,195,431.9007874,79.44223785,2809.857227,27.44743538,0.202861127,1.973268966,702.4636597,0.082352423
2,3,2185,669.681,0.074319837,49.77058266,0.008424334,FALSE,FALSE,B2,cloneB,2,5574,4537,4537,22,199,610.8850098,42.213871,3050.749656,37.99698899,0.111178472,1.639976449,762.6867065,0.239627897
2,4,2438,607.918,0.251664029,152.9910932,0.004442038,FALSE,FALSE,B2,cloneB,2,5278,3960,3960,76,183,486.0917664,153.1083527,1579.590046,26.27965812,0.151989002,2.454839856,394.8971497,0.201164981
2,5,3105,638.444,0.109170619,69.69932638,0.003762894,FALSE,FALSE,B2,cloneB,2,4654,2785,2785,76,131,663.3664551,67.38182831,1830.063627,28.13112948,0.149178445,1.507850622,457.5154829,0.070819599
2,6,1242,289.27,0.412794585,119.4090897,0.003977624,FALSE,FALSE,B2,cloneB,2,4626,2724,2724,51,129,278.5153198,118.1158066,1821.554831,27.76813298,0.150345227,1.960581508,455.3882883,0.048009384
2,7,1081,315.438,0.650568047,205.2138835,0.005718236,FALSE,FALSE,B2,cloneB,2,4357,556,556,36,19,323.6811218,211.6045837,1792.502458,28.24284458,0.141756001,1.796444604,448.1252018,0.055667941
2,8,690,238.344,0.901371703,214.8365371,0.004544298,FALSE,FALSE,B2,cloneB,2,5148,3696,3696,36,172,246.2473145,198.2393799,1543.844767,27.34756014,0.136406504,2.146528585,385.9608417,0.109349844
2,9,713,184.837,0.397694451,73.50864932,0.003663871,TRUE,FALSE,B2,cloneB,2,3791,33,33,35,1,184.5772705,73.58398438,1929.648022,30.62953077,0.126741909,1.753558246,482.4115592,0.002428978
2,10,23,5.494,1.000074358,5.494408521,0.003985989,FALSE,FALSE,B2,cloneB,2,4766,3032,3032,2,143,5.496679783,5.496679783,2008.286255,25.91436958,0.179877251,1.706330714,502.0710907,0.000900734
2,11,23,13.554,1.000003835,13.55405198,0.001088865,FALSE,FALSE,B2,cloneB,2,5358,4128,4128,2,188,13.54548168,13.54548168,722.1256104,19.13616371,0.167039484,1.608181215,180.5312347,0.001260778
2,12,1081,246.985,0.712154947,175.8915897,0.003452307,FALSE,FALSE,B2,cloneB,2,5653,4712,4712,45,205,242.1464996,171.193924,2400.96629,30.13928185,0.14972057,2.188014848,600.241019,0.046297994
2,13,1081,303.637,0.746452149,226.6504912,0.006411156,FALSE,FALSE,B2,cloneB,2,4868,3138,3138,25,149,301.4174805,244.8048096,2158.201064,28.98035027,0.151471736,2.479775861,539.5497644,0.08146812
2,14,1265,385.837,0.320460219,123.6454095,0.004425508,TRUE,FALSE,B2,cloneB,2,5259,3916,3916,51,181,377.8557739,124.1116638,2302.535597,29.88527881,0.152352029,2.0435175,575.6333588,0.024442219
2,15,1265,448.364,0.060344582,27.05633798,0.004974031,TRUE,FALSE,B2,cloneB,2,4195,1783,1783,37,74,388.6028137,23.65186882,1853.416603,27.19223744,0.15776256,1.374201389,463.3537128,0.259116106
